n,accept_if_x_at_most,reject_if_x_at_least
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,8
9,,8
10,,8
11,,8
12,,8
13,,9
14,,9
15,,9
16,,9
17,,9
18,,9
19,,9
20,,9
21,,10
22,,10
23,,10
24,,10
25,,10
26,,10
27,,10
28,,10
29,,11
30,,11
31,,11
32,,11
33,,11
34,,11
35,,11
36,,11
37,,12
38,,12
39,,12
40,,12
41,,12
42,,12
43,0,12
44,0,12
45,0,13
46,0,13
47,0,13
48,0,13
49,0,13
50,0,13
51,0,13
52,0,13
53,0,14
54,0,14
55,0,14
56,0,14
57,1,14
58,1,14
59,1,14
60,1,14
61,1,15
62,1,15
63,1,15
64,1,15
65,1,15
66,1,15
67,1,15
68,1,15
69,1,16
70,1,16
71,2,16
72,2,16
73,2,16
74,2,16
75,2,16
76,2,16
77,2,16
78,2,17
79,2,17
80,2,17
81,2,17
82,2,17
83,2,17
84,2,17
85,3,17
86,3,18
87,3,18
88,3,18
89,3,18
90,3,18
91,3,18
92,3,18
93,3,18
94,3,19
95,3,19
96,3,19
97,3,19
98,4,19
99,4,19
100,4,19
101,4,19
102,4,20
103,4,20
104,4,20
105,4,20
106,4,20
107,4,20
108,4,20
109,4,20
110,4,21
111,4,21
112,5,21
113,5,21
114,5,21
115,5,21
116,5,21
117,5,21
118,5,22
119,5,22
120,5,22
121,5,22
122,5,22
123,5,22
124,5,22
125,5,22
126,6,23
127,6,23
128,6,23
129,6,23
130,6,23
131,6,23
132,6,23
133,6,23
134,6,24
135,6,24
136,6,24
137,6,24
138,6,24
139,6,24
140,7,24
141,7,24
142,7,25
143,7,25
144,7,25
145,7,25
146,7,25
147,7,25
148,7,25
149,7,25
150,7,26
151,7,26
152,7,26
153,7,26
154,8,26
155,8,26
156,8,26
157,8,26
158,8,26
159,8,27
160,8,27
161,8,27
162,8,27
163,8,27
164,8,27
165,8,27
166,8,27
167,9,28
168,9,28
169,9,28
170,9,28
171,9,28
172,9,28
173,9,28
174,9,28
175,9,29
176,9,29
177,9,29
178,9,29
179,9,29
180,9,29
181,10,29
182,10,29
183,10,30
184,10,30
185,10,30
186,10,30
187,10,30
188,10,30
189,10,30
190,10,30
191,10,31
192,10,31
193,10,31
194,10,31
195,11,31
196,11,31
197,11,31
198,11,31
199,11,32
200,11,32
201,11,32
202,11,32
203,11,32
204,11,32
205,11,32
206,11,32
207,11,33
208,11,33
209,12,33
210,12,33
211,12,33
212,12,33
213,12,33
214,12,33
215,12,34
216,12,34
217,12,34
218,12,34
219,12,34
220,12,34
221,12,34
222,12,34
223,13,35
224,13,35
225,13,35
226,13,35
227,13,35
228,13,35
229,13,35
230,13,35
231,13,36
232,13,36
233,13,36
234,13,36
235,13,36
236,13,36
237,14,36
238,14,36
239,14,37
240,14,37
241,14,37
242,14,37
243,14,37
244,14,37
245,14,37
246,14,37
247,14,37
248,14,38
249,14,38
250,15,38
251,15,38
252,15,38
253,15,38
254,15,38
255,15,38
256,15,39
257,15,39
258,15,39
259,15,39
260,15,39
261,15,39
262,15,39
263,15,39
264,16,40
265,16,40
266,16,40
267,16,40
268,16,40
269,16,40
270,16,40
271,16,40
272,16,41
273,16,41
274,16,41
275,16,41
276,16,41
277,16,41
278,17,41
279,17,41
280,17,42
281,17,42
282,17,42
283,17,42
284,17,42
285,17,42
286,17,42
287,17,42
288,17,43
289,17,43
290,17,43
291,17,43
292,18,43
293,18,43
294,18,43
295,18,43
296,18,44
297,18,44
298,18,44
299,18,44
300,18,44
301,18,44
302,18,44
303,18,44
304,18,45
305,18,45
