rank,inspect_components,inspect_semis,dismantle_semis,inspect_final,dismantle_final,semi_expected_costs,semi_output_good_probabilities,pass_probability_per_final_assembly,expected_fulfillment_cost,expected_profit
1,11111111,111,111,0,1,"[42.888888888888886, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,139.77777777777777,60.22222222222223
2,11111111,111,110,0,1,"[42.888888888888886, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,141.95061728395063,58.049382716049365
3,11111111,111,111,1,1,"[42.888888888888886, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.0,58.0
4,11111110,111,110,0,1,"[42.888888888888886, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,142.19753086419752,57.80246913580248
5,11111111,111,011,0,1,"[45.432098765432094, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.320987654321,57.67901234567901
6,11111111,111,101,0,1,"[42.888888888888886, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.320987654321,57.67901234567901
7,11011111,111,011,0,1,"[46.09053497942386, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.97942386831275,57.02057613168725
8,11111011,111,101,0,1,"[42.888888888888886, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.97942386831275,57.02057613168725
9,11111100,111,110,0,1,"[42.888888888888886, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,144.1179698216735,55.88203017832649
10,11111101,111,110,0,1,"[42.888888888888886, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,144.11796982167354,55.88203017832646
11,11111111,111,110,1,1,"[42.888888888888886, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,144.17283950617283,55.827160493827165
12,11111110,111,110,1,1,"[42.888888888888886, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,144.41975308641975,55.580246913580254
13,11111111,111,010,0,1,"[45.432098765432094, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,144.49382716049382,55.50617283950618
14,11111111,111,100,0,1,"[42.888888888888886, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,144.49382716049382,55.50617283950618
15,11111111,111,011,1,1,"[45.432098765432094, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.5432098765432,55.45679012345681
16,11111111,111,101,1,1,"[42.888888888888886, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.5432098765432,55.45679012345681
17,11111110,111,010,0,1,"[45.432098765432094, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,144.74074074074073,55.25925925925927
18,11111110,111,100,0,1,"[42.888888888888886, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,144.74074074074073,55.25925925925927
19,11111111,111,001,0,1,"[45.432098765432094, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.8641975308642,55.1358024691358
20,10111111,111,011,0,1,"[48.01097393689986, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.89986282578877,55.10013717421123
