rank,inspect_components,inspect_semis,dismantle_semis,inspect_final,dismantle_final,sample_size_each_rate,draw_count,posterior_mean_cost,posterior_mean_cost_mc_se,posterior_mean_profit,posterior_cost_q025,posterior_cost_q975,probability_ex_post_optimal
1,11111111,111,111,0,1,100,5000,140.97108329833316,0.0392642662442823,59.028916701666844,136.1549124627485,147.0777472038959,0.918
2,11111111,111,111,1,1,100,5000,142.9660444223768,0.026304976459896823,57.0339555776232,139.54116653136285,146.8595852636251,0.0802
3,11111111,111,110,0,1,100,5000,143.27748409124376,0.043332165133824624,56.722515908756236,137.90949511705296,149.84758306472057,0.0
4,11111110,111,110,0,1,100,5000,143.65784807202476,0.047322947480548626,56.34215192797524,137.69774219568157,150.64025394824694,0.0014
5,11111111,111,011,0,1,100,5000,143.67860467702712,0.04402308331898027,56.321395322972876,138.16217260513682,150.22915614239403,0.0
6,11111111,111,101,0,1,100,5000,143.68884893523241,0.04413982444851635,56.311151064767586,138.16690324958006,150.37859060406754,0.0
7,11011111,111,011,0,1,100,5000,144.5072025652241,0.04902738185120525,55.492797434775895,138.3339382965263,151.9937817986432,0.0
8,11111011,111,101,0,1,100,5000,144.5205996116388,0.04910231714369504,55.4794003883612,138.42599757627684,152.07409791656895,0.0
9,11111111,111,110,1,1,100,5000,145.27244521528738,0.03204097512003399,54.72755478471262,141.19067543242534,149.99716750033392,0.0
10,11111101,111,110,0,1,100,5000,145.64407835523915,0.048719454358569274,54.355921644760855,139.53180009984135,152.94412418227944,0.0
11,11111110,111,110,1,1,100,5000,145.6528091960684,0.03733115117190181,54.347190803931596,140.89404652048037,151.12645695033692,0.0004
12,11111111,111,011,1,1,100,5000,145.67356580107077,0.03314087155232995,54.326434198929235,141.4749893660765,150.53073461867012,0.0
13,11111111,111,101,1,1,100,5000,145.68381005927603,0.03328775842032576,54.31618994072397,141.44316924742236,150.76884867391584,0.0
14,11111100,111,110,0,1,100,5000,145.7700871963507,0.05251981624322859,54.22991280364931,139.15326785795074,153.52256617850335,0.0
15,11111111,111,010,0,1,100,5000,145.9850054699377,0.04764605770762466,54.014994530062296,140.02075520281045,153.0513736518989,0.0
16,11111111,111,100,0,1,100,5000,145.995249728143,0.047797925683329766,54.004750271857006,139.99800911421823,153.0607232918213,0.0
17,11111110,111,010,0,1,100,5000,146.36536945071873,0.0513515605186076,53.63463054928127,139.84047401150374,153.97833175247663,0.0
18,11111110,111,100,0,1,100,5000,146.37561370892402,0.05142164813898584,53.62438629107598,139.75898416505999,153.9715347758466,0.0
19,11111111,111,001,0,1,100,5000,146.39637031392635,0.04845049046301928,53.603629686073646,140.31073005940735,153.69249884465535,0.0
20,11011111,111,011,1,1,100,5000,146.50216368926772,0.039529700144164126,53.49783631073228,141.5358710528307,152.44905491599184,0.0
