period,optical,cosine,shadow_blocking,truncation,power_kw,unit_power_kw_m2,optical_U,cosine_U,shadow_blocking_U,truncation_U,power_kw_U,unit_power_kw_m2_U,all_targets_met
01-21,0.5377344251247466,0.7199357642301879,0.9132991661682729,0.9435922407416584,29445.97349404884,0.46873564937995604,0.000137648612212849,0.0,0.00019236982013388421,0.0001443775878364887,7.206925105828151,0.00011472341779402712,True
02-21,0.564032459130968,0.7404403532037784,0.9310196288760743,0.9374692432302091,33410.308517338635,0.5318419057201311,0.00018067150667722132,0.0,0.00016926690888632411,0.0001606698171491283,10.638595224154415,0.00016935044928600984,True
03-21,0.582981258798918,0.7611400153929364,0.9346075269545968,0.9349508390024667,36431.5647779083,0.579935765328053,0.00014571859507458198,0.0,0.0001068003346291569,0.0001650107855655654,9.076573208279553,0.00014448540605344716,True
04-21,0.6000791375121362,0.7793399687370515,0.9359579051184076,0.9347733673357214,38798.029949037205,0.617606334750672,0.00013585818339009463,0.0,0.00010181863059287517,0.00019016056254257774,8.746000335394326,0.00013922318267108334,True
05-21,0.6103466107084949,0.7893169789883201,0.9364613290897473,0.9359890082152422,40064.68081064815,0.6377695130634854,0.00013934175698993023,0.0,0.00013633664932869035,0.00012608873120243956,9.194959321241186,0.0001463699350722214,True
06-21,0.6137112104627722,0.7923588160987858,0.9366460190591324,0.9366332904647365,40456.45305273819,0.6440059384390032,0.00013458902740082096,0.0,0.00014327295128513384,0.00021064757529707103,8.841137857576175,0.00014073762906056933,True
07-21,0.6102673015293971,0.7892118485227696,0.9364879176192229,0.9359855283866011,40053.499712570745,0.6375915267839978,0.00015396889457702326,0.0,0.0001581035837532383,0.0001339009803419059,10.150415650488124,0.00016157936406423253,True
08-21,0.5994044905230267,0.7786369463472502,0.9358705249632875,0.9347812741613815,38709.87164939939,0.6162029870964564,0.00012267266567544954,0.0,0.00012380017140324975,0.00011420739160472593,7.695771681530459,0.00012250512068667785,True
09-21,0.58223916090855,0.7600919805120645,0.9346499909835557,0.9351564118185669,36302.41204847723,0.5778798479541108,0.00013274280842101582,0.0,0.00010487125902775837,0.0002181794918595381,8.003471597039606,0.00012740324095916744,True
10-21,0.5614678252732623,0.7378354064925949,0.9298652842657156,0.9381959555003702,32984.02677059529,0.5250561408881771,0.00014703647623853314,0.0,0.00011128059300283769,0.00018024438228427667,8.6156110793915,0.0001371475816520755,True
11-21,0.5348190508523529,0.7181956127447962,0.9108528383436832,0.9440695140457114,29042.03221663541,0.4623055112485739,0.0001532588201794836,0.0,0.00021031753517533207,0.0001317527685741966,8.072457811726897,0.00012850139783080204,True
12-21,0.5219091031850979,0.7110822833457547,0.8994350109037628,0.9457001159629131,27284.237028756477,0.43432405330717094,0.00015115907647611187,0.0,0.00017452504144142817,0.000171299322735883,7.995223901487289,0.00012727195003968303,True
