样本月份,光学效率,余弦效率,阴影遮挡效率,截断效率,热功率_kW,单位面积功率_kW_m2,U_光学,U_余弦,U_阴影遮挡,U_截断,U_功率_kW,U_单位面积
1,0.43660075584504304,0.7161819902237972,0.7638903595555073,0.9444657030035681,49186.76121754704,0.38119963898386866,0.00022460174875426624,0.0,0.00032646550992256756,0.0001718039461333127,25.344227782087323,0.00019641891927218674
2,0.4613552010068605,0.7361008876107099,0.7818459902069752,0.9368392030031645,56199.01036314589,0.4355448891406044,6.680897428473775e-05,0.0,0.00010167461633236037,4.4990856019895614e-05,8.715083946204686,6.754229739425188e-05
3,0.48377429688994916,0.756247268436893,0.7962580607531049,0.9283374884326937,62103.58639024437,0.48130562219492423,0.00016091712474258912,0.0,0.0001650051437163617,0.0001293676832356786,20.365092344048083,0.00015783039292010596
4,0.49908730644774035,0.7739855426874221,0.7992133879352095,0.9243820820551101,66275.19963802105,0.513635814805075,0.0001310387246621087,0.0,0.00014504094028029957,0.0001553711035194048,17.532319624395086,0.00013587627536236095
5,0.507045750740043,0.7837175609871759,0.7983863350918072,0.9239875153664128,68360.14222927563,0.5297942148178982,0.0001471114734873229,0.0,0.0001546736409595094,0.00012614720165845505,19.915380965336453,0.00015434510925885035
6,0.5096074881449194,0.7866856902178082,0.7981161888556058,0.924056433900917,68997.27218982238,0.5347320010216295,0.000110098175981177,0.0,0.0001907068333093509,0.0001620389522721139,14.6809916334023,0.0001137783536067083
7,0.5069608685665592,0.7836149857309413,0.7984549269323683,0.923919130351643,68338.56139887641,0.5296269623996962,0.00014262211192017546,0.0,0.00015101193519962943,0.00013579654148358593,19.213125133609452,0.0001489025945882454
8,0.49843266927297514,0.7732999840973758,0.7991549973596072,0.9243725049606996,66111.95025722239,0.5123706246708934,8.475721673484455e-05,0.0,0.00012680804258087118,0.0001572409694918375,11.119417002145607,8.617598805031361e-05
9,0.4828250788475762,0.7552264711992116,0.7956566626986932,0.9289271473080009,61843.12662941833,0.4792870471893943,0.00012599703928604936,0.0,0.00013423411370458893,0.0001525151303650475,15.81839758939166,0.00012259330155352764
10,0.45821438860581587,0.733568067827922,0.7797183127374276,0.9376644513861413,55366.26406859311,0.42909106744161785,0.00017501390497535752,0.0,0.00020156294400685003,0.00016407993137609818,21.265373171909772,0.00016480761032701825
11,0.43417786098646677,0.7144936104216922,0.7617872457342368,0.9453083657934084,48499.776088676575,0.37587547295564716,0.00018759013912884672,0.0,0.00021934304637182735,0.00014400725994272872,21.38185145065581,0.00016571032229079622
12,0.42233316215462685,0.7075957530700749,0.7487204900780056,0.9502499659941585,45382.241939463514,0.35171444135318525,0.00013467212540618648,0.0,0.000201383785218318,0.00018409062952315253,14.680624496541364,0.0001137755082793723
年规定60点平均,0.4750345689590481,0.7517264843759187,0.7851002464948793,0.9327091659629931,59721.99103419222,0.4628481497478695,4.950741891419839e-05,0.0,6.126677426114048e-05,6.130580618127245e-05,6.012495857997537,4.6597116657382425e-05
