日期,平均光学效率,平均余弦效率,平均阴影遮挡效率,平均截断效率,单位面积镜面平均输出热功率 (kW/m²)
1月21日,0.43634818144288934,0.7283926847532814,0.7554076445891156,0.9387758468675897,0.38102303638849505
2月21日,0.45997431237936565,0.7463871315855737,0.7744169259524171,0.9306115059379625,0.43451946426430954
3月21日,0.4808407907527215,0.7641580795456696,0.7895454520840076,0.9217133749882283,0.47900818808219847
4月21日,0.49485146773827005,0.7791775941200448,0.7943715097129797,0.9168361667653017,0.5101870036985046
5月21日,0.5020692081417425,0.7868878279149667,0.7948280921749731,0.9160539375782456,0.5256748728485924
6月21日,0.5043601045505117,0.7890795871337863,0.7950658581204426,0.9159280979430763,0.5303612049304312
7月21日,0.5020047337879275,0.7868102331827913,0.7948933068912991,0.916007522582287,0.5255274036601542
8月21日,0.4944332626611573,0.7786149556695036,0.7943211958071437,0.9170632388318625,0.5091592853881317
9月21日,0.4800569409690296,0.7632717851867923,0.789209283543699,0.9221441716045359,0.47713103836389115
10月21日,0.45697260587722727,0.744118670162784,0.7722346323639074,0.9314071208167736,0.42815694101349744
11月21日,0.4340103340893628,0.726852771538989,0.753126140015341,0.9397987443344757,0.3757575144014011
12月21日,0.42240107817040756,0.7205407244421702,0.7395741360072416,0.9448413051721314,0.3517513579822853
