excel_row,x_m,y_m,radius_m,nearest_excel_row,nearest_distance_m
2,107.25,11.664,107.88239613579223,3,11.680917301308146
3,105.36,23.191,107.88212122960876,2,11.680917301308146
4,102.235,34.447,107.88230176446923,5,11.681732748184231
5,97.911,45.299,107.88217332812683,6,11.68050688112464
6,92.44,55.619,107.88246734757229,5,11.68050688112464
7,85.884,65.288,107.88227101799443,8,11.68106386422059
8,78.322,74.191,107.88252947071643,7,11.68106386422059
9,69.841,82.224,107.88211833756324,10,11.68084594539282
10,60.542,89.293,107.88222102367007,9,11.68084594539282
11,50.533,95.315,107.88203425037923,10,11.680948805640742
12,39.931,100.22,107.88203354127137,13,11.6805676659998
13,28.862,103.95,107.88242462977925,12,11.6805676659998
14,17.453,106.461,107.88211960283316,15,11.680484279343899
15,5.841,107.724,107.88223883939376,14,11.680484279343899
16,-5.841,107.724,107.88223883939376,17,11.680484279343899
17,-17.453,106.461,107.88211960283316,16,11.680484279343899
18,-28.862,103.95,107.88242462977925,19,11.6805676659998
19,-39.931,100.22,107.88203354127137,18,11.6805676659998
20,-50.533,95.315,107.88203425037923,21,11.680948805640742
21,-60.542,89.293,107.88222102367007,22,11.68084594539282
22,-69.841,82.224,107.88211833756324,21,11.68084594539282
23,-78.322,74.191,107.88252947071643,24,11.68106386422059
24,-85.884,65.288,107.88227101799443,23,11.68106386422059
25,-92.44,55.619,107.88246734757229,26,11.68050688112464
26,-97.911,45.299,107.88217332812683,25,11.68050688112464
27,-102.235,34.447,107.88230176446923,26,11.681732748184231
28,-105.36,23.191,107.88212122960876,29,11.680917301308146
29,-107.25,11.664,107.88239613579223,28,11.680917301308146
30,-107.882,0.0,107.882,29,11.681109536341143
31,-107.25,-11.664,107.88239613579223,32,11.680917301308146
32,-105.36,-23.191,107.88212122960876,31,11.680917301308146
33,-102.235,-34.447,107.88230176446923,34,11.681732748184231
34,-97.911,-45.299,107.88217332812683,35,11.68050688112464
35,-92.44,-55.619,107.88246734757229,34,11.68050688112464
36,-85.884,-65.288,107.88227101799443,37,11.68106386422059
37,-78.322,-74.191,107.88252947071643,36,11.68106386422059
38,-69.841,-82.224,107.88211833756324,39,11.68084594539282
39,-60.542,-89.293,107.88222102367007,38,11.68084594539282
40,-50.533,-95.315,107.88203425037923,39,11.680948805640742
41,-39.931,-100.22,107.88203354127137,42,11.6805676659998
42,-28.862,-103.95,107.88242462977925,41,11.6805676659998
43,-17.453,-106.461,107.88211960283316,44,11.680484279343899
44,-5.841,-107.724,107.88223883939376,43,11.680484279343899
45,5.841,-107.724,107.88223883939376,46,11.680484279343899
46,17.453,-106.461,107.88211960283316,45,11.680484279343899
47,28.862,-103.95,107.88242462977925,48,11.6805676659998
48,39.931,-100.22,107.88203354127137,47,11.6805676659998
49,50.533,-95.315,107.88203425037923,50,11.680948805640742
50,60.542,-89.293,107.88222102367007,51,11.68084594539282
51,69.841,-82.224,107.88211833756324,50,11.68084594539282
52,78.322,-74.191,107.88252947071643,53,11.68106386422059
53,85.884,-65.288,107.88227101799443,52,11.68106386422059
54,92.44,-55.619,107.88246734757229,55,11.68050688112464
55,97.911,-45.299,107.88217332812683,54,11.68050688112464
56,102.235,-34.447,107.88230176446923,55,11.681732748184231
57,105.36,-23.191,107.88212122960876,58,11.680917301308146
58,107.25,-11.664,107.88239613579223,57,11.680917301308146
59,107.882,0.0,107.882,2,11.681109536341143
60,121.217,6.05,121.3678853280389,61,12.09915476386677
61,120.012,18.089,121.36759066983245,62,12.098821843468896
62,117.615,29.948,121.36791556667684,61,12.098821843468896
63,114.048,41.51,121.36732016486151,64,12.099181831843014
64,109.348,52.659,121.36702758574917,65,12.09915997084095
65,103.562,63.285,121.36753712999204,64,12.09915997084095
66,96.746,73.282,121.36737634142051,67,12.099425192958552
67,88.969,82.551,121.36783166061755,66,12.099425192958552
68,80.307,90.999,121.36734424877228,69,12.098951070237462
69,70.848,98.543,121.36787858819977,68,12.098951070237462
70,60.684,105.107,121.36733211618355,69,12.099297169670638
71,49.917,110.627,121.3673762507866,70,12.099532594278172
72,38.654,115.048,121.36792830068411,73,12.099228818399958
73,27.007,118.325,121.36796807230482,72,12.099228818399958
74,15.091,120.426,121.36786954132465,75,12.098819818478164
75,3.026,121.33,121.36772872555538,74,12.098819818478164
76,-9.07,121.028,121.36738311424533,77,12.09884461425966
77,-21.075,119.524,121.36779721573593,76,12.09884461425966
78,-32.871,116.831,121.36715042382762,77,12.099498543328151
79,-44.341,112.978,121.36784073633343,80,12.098651164489368
80,-55.369,108.002,121.36786298275173,79,12.098651164489368
81,-65.848,101.952,121.36790930060549,82,12.09864860222001
82,-75.671,94.889,121.3673043368765,81,12.09864860222001
83,-84.743,86.883,121.36734213947341,84,12.099258696300367
84,-92.973,78.014,121.36788259255411,83,12.099258696300367
85,-100.279,68.369,121.36802709939714,86,12.099109760639413
86,-106.588,58.045,121.36813325169008,85,12.099109760639413
87,-111.837,47.143,121.36711670794524,88,12.098986817085137
88,-115.976,35.774,121.36808333330472,87,12.098986817085137
89,-118.961,24.049,121.36751592580282,88,12.099002024960573
90,-120.764,12.084,121.36707441476868,91,12.09908558528288
91,-121.368,0.0,121.368,90,12.09908558528288
92,-120.764,-12.084,121.36707441476868,91,12.09908558528288
93,-118.961,-24.049,121.36751592580282,94,12.099002024960573
94,-115.976,-35.774,121.36808333330472,95,12.098986817085137
95,-111.837,-47.143,121.36711670794524,94,12.098986817085137
96,-106.588,-58.045,121.36813325169008,97,12.099109760639413
97,-100.279,-68.369,121.36802709939714,96,12.099109760639413
98,-92.973,-78.014,121.36788259255411,99,12.099258696300367
99,-84.743,-86.883,121.36734213947341,98,12.099258696300367
100,-75.671,-94.889,121.3673043368765,101,12.09864860222001
101,-65.848,-101.952,121.36790930060549,100,12.09864860222001
102,-55.369,-108.002,121.36786298275173,103,12.098651164489368
103,-44.341,-112.978,121.36784073633343,102,12.098651164489368
104,-32.871,-116.831,121.36715042382762,105,12.099498543328151
105,-21.075,-119.524,121.36779721573593,106,12.09884461425966
106,-9.07,-121.028,121.36738311424533,105,12.09884461425966
107,3.026,-121.33,121.36772872555538,108,12.098819818478164
108,15.091,-120.426,121.36786954132465,107,12.098819818478164
109,27.007,-118.325,121.36796807230482,110,12.099228818399958
110,38.654,-115.048,121.36792830068411,109,12.099228818399958
111,49.917,-110.627,121.3673762507866,112,12.099532594278172
112,60.684,-105.107,121.36733211618355,113,12.099297169670638
113,70.848,-98.543,121.36787858819977,114,12.098951070237462
114,80.307,-90.999,121.36734424877228,113,12.098951070237462
115,88.969,-82.551,121.36783166061755,116,12.099425192958552
