question,paper,metric,coordinate,ours,paper_value,absolute_difference,difference_class,note
Q1,P01-B477,depth_m,-800.0,90.95,90.95,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,-800.0,90.95,90.95,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,-800.0,90.95,90.95,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,-800.0,90.95,90.95,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,-800.0,90.95,90.95,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,-600.0,85.71,85.71,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,-600.0,85.71,85.71,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,-600.0,85.71,85.71,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,-600.0,85.71,85.71,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,-600.0,85.71,85.71,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,-400.0,80.47,80.47,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,-400.0,80.47,80.47,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,-400.0,80.47,80.47,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,-400.0,80.47,80.47,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,-400.0,80.47,80.47,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,-200.0,75.24,75.24,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,-200.0,75.24,75.24,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,-200.0,75.24,75.24,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,-200.0,75.24,75.24,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,-200.0,75.24,75.24,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,0.0,70.0,70.0,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,0.0,70.0,70.0,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,0.0,70.0,70.0,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,0.0,70.0,70.0,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,0.0,70.0,70.0,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,200.0,64.76,64.76,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,200.0,64.76,64.76,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,200.0,64.76,64.76,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,200.0,64.76,64.76,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
