final_order,line_id,block,axis,direction,direction_deg_from_east_ccw,start_x_m,start_y_m,end_x_m,end_y_m,length_inside_m,representative_depth_m,representative_slope_deg
1,BSV-L001,BSV,vertical,south-to-north,90.0,40.07965568714378,0.0,40.07965568714378,4630.0,4630.0,24.183587172315633,0.33320058005050496
2,BSV-L002,BSV,vertical,south-to-north,90.0,116.91435920109534,0.0,116.91435920109534,4630.0,4630.0,23.78684166694932,0.3112969693731837
3,BSV-L003,BSV,vertical,south-to-north,90.0,192.241610347485,0.0,192.241610347485,4630.0,4630.0,23.434582676684734,0.2839638455711276
4,BSV-L004,BSV,vertical,south-to-north,90.0,266.2144587745353,0.0,266.2144587745353,4630.0,4630.0,23.118789842644844,0.25744746281549463
5,BSV-L005,BSV,vertical,south-to-north,90.0,338.958491196531,0.0,338.958491196531,4630.0,4630.0,22.845350867830753,0.2445789188234428
6,BSV-L006,BSV,vertical,south-to-north,90.0,410.65556561788355,0.0,410.65556561788355,4630.0,4630.0,22.60545053407216,0.2198493610172915
7,BSV-L007,BSV,vertical,south-to-north,90.0,481.44256846383746,0.0,481.44256846383746,4630.0,4630.0,22.400219500844955,0.22427158768996144
8,BSV-L008,BSV,vertical,south-to-north,90.0,551.4261831610668,0.0,551.4261831610668,4630.0,4630.0,22.22514156359352,0.19688265274752714
9,BSV-L009,BSV,vertical,south-to-north,90.0,620.7465994410577,0.0,620.7465994410577,4630.0,4630.0,22.081882776434284,0.1763688807455529
10,BSV-L010,BSV,vertical,south-to-north,90.0,689.5475506710677,0.0,689.5475506710677,4630.0,4630.0,21.971103798949546,0.1713616185167433
11,BSV-L011,BSV,vertical,south-to-north,90.0,757.9404047448822,0.0,757.9404047448822,4630.0,4630.0,21.88648984368803,0.1523479090656208
12,BSV-L012,BSV,vertical,south-to-north,90.0,826.052932375783,0.0,826.052932375783,4630.0,4630.0,21.83245887393643,0.15492395450947938
13,BSV-L013,BSV,vertical,south-to-north,90.0,893.9999623849208,0.0,893.9999623849208,4630.0,4630.0,21.804319659505275,0.14153358904508676
14,BSV-L014,BSV,vertical,south-to-north,90.0,961.8951069607224,0.0,961.8951069607224,4630.0,4630.0,21.804845451803555,0.1399094011124926
15,BSV-L015,BSV,vertical,south-to-north,90.0,1029.8515971797683,0.0,1029.8515971797683,4630.0,4630.0,21.835094220558698,0.15650346252138406
16,BSV-L016,BSV,vertical,south-to-north,90.0,1097.9831143570564,0.0,1097.9831143570564,4630.0,4630.0,21.89072690535319,0.1523479090656208
17,BSV-L017,BSV,vertical,south-to-north,90.0,1166.4046263898267,0.0,1166.4046263898267,4630.0,4630.0,21.976972312403902,0.16993088594185005
18,BSV-L018,BSV,vertical,south-to-north,90.0,1235.2425949035633,0.0,1235.2425949035633,4630.0,4630.0,22.08942175062768,0.1763688807455529
19,BSV-L019,BSV,vertical,south-to-north,90.0,1304.6100595287517,0.0,1304.6100595287517,4630.0,4630.0,22.234948848746967,0.19688265274752711
20,BSV-L020,BSV,vertical,south-to-north,90.0,1374.6529332295395,0.0,1374.6529332295395,4630.0,4630.0,22.411829319360194,0.223095614246388
21,BSV-L021,BSV,vertical,south-to-north,90.0,1445.4902318857185,0.0,1445.4902318857185,4630.0,4630.0,22.61801371021291,0.2320280762754037
22,BSV-L022,BSV,vertical,south-to-north,90.0,1517.2974743283062,0.0,1517.2974743283062,4630.0,4630.0,22.860288111843406,0.2445789188234428
23,BSV-L023,BSV,vertical,south-to-north,90.0,1590.1301579994442,0.0,1590.1301579994442,4630.0,4630.0,23.13521118034347,0.25744746281549463
24,BSV-L024,BSV,vertical,south-to-north,90.0,1664.2056850422127,0.0,1664.2056850422127,4630.0,4630.0,23.45379345590589,0.2839638455711276
25,BSV-L025,BSV,vertical,south-to-north,90.0,1739.6491057971643,0.0,1739.6491057971643,4630.0,4630.0,23.8090183327076,0.3112969693731837
26,BSV-L026,BSV,vertical,south-to-north,90.0,1816.6112394886632,0.0,1816.6112394886632,4630.0,4630.0,24.208915979960384,0.3332005800505076
27,BSV-L027,BSV,vertical,south-to-north,90.0,1895.2766167490108,0.0,1895.2766167490108,4630.0,4630.0,24.647042540085913,0.36210635886500286
28,BSV-L028,BSV,vertical,south-to-north,90.0,1975.8545380897458,0.0,1975.8545380897458,4630.0,4630.0,25.14251320576509,0.39132256223355155
29,BSV-L029,BSV,vertical,south-to-north,90.0,2058.516880533374,0.0,2058.516880533374,4630.0,4630.0,25.688877433405597,0.40158223365088114
