case,sample_size_each_rate,observed_defects_p1,observed_defects_p2,observed_defects_p_final,policy,posterior_mean_cost,posterior_mean_cost_mc_se,posterior_cost_q025,posterior_cost_q975,probability_ex_post_optimal,bayes_selected
1,100,10,10,10,0000,41.4365888245472,0.020075136750996914,36.65110478241673,47.70264115879685,0.0143,0
1,100,10,10,10,0001,inf,inf,inf,inf,0.0,0
1,100,10,10,10,0010,43.25100745767539,0.018303801155320716,38.88777200749761,48.96417282125595,0.0,0
1,100,10,10,10,0011,inf,inf,inf,inf,0.0,0
1,100,10,10,10,0100,43.278453284743705,0.018485856667796816,38.854180458446116,49.01929990006413,0.0,0
1,100,10,10,10,0101,inf,inf,inf,inf,0.0,0
1,100,10,10,10,0110,45.53231883787351,0.01729823736380166,41.38685263983688,50.890081643967676,0.0,0
1,100,10,10,10,0111,inf,inf,inf,inf,0.0,0
1,100,10,10,10,1000,39.83094577052834,0.015914496809854455,36.06367997053403,44.82830797410617,0.0538,0
1,100,10,10,10,1001,inf,inf,inf,inf,0.0,0
1,100,10,10,10,1010,42.084967466849854,0.014636947770807929,38.61973753279801,46.68156890391784,0.0,0
1,100,10,10,10,1011,inf,inf,inf,inf,0.0,0
1,100,10,10,10,1100,41.12492646231213,0.013270494108828423,37.97292545489483,45.28421800644354,0.0,0
1,100,10,10,10,1101,38.165851818891134,0.007523166763403348,36.343347028282125,40.502212136186,0.9319,1
1,100,10,10,10,1110,43.772224101606525,0.012570109142957465,40.786782546850596,47.68785924602501,0.0,0
1,100,10,10,10,1111,40.81314945818553,0.00704720972504976,39.117946481394135,43.01048087171115,0.0,0
2,100,20,20,20,0000,61.72654535729941,0.042739426346134195,51.45659943130635,74.98520707713072,0.0,0
2,100,20,20,20,0001,inf,inf,inf,inf,0.0,0
2,100,20,20,20,0010,61.75067370812592,0.03896830049206353,52.38689948148521,73.83945351150155,0.0,0
2,100,20,20,20,0011,inf,inf,inf,inf,0.0,0
2,100,20,20,20,0100,61.167386608668416,0.037790072337623805,52.05668773630421,72.91862344246302,0.0,0
2,100,20,20,20,0101,inf,inf,inf,inf,0.0,0
2,100,20,20,20,0110,62.41683315908327,0.035569947314117,53.83732745595553,73.4449699955018,0.0,0
2,100,20,20,20,0111,inf,inf,inf,inf,0.0,0
2,100,20,20,20,1000,53.45943443227886,0.03075598362958009,46.041304445479405,62.95068526757569,0.0,0
2,100,20,20,20,1001,inf,inf,inf,inf,0.0,0
2,100,20,20,20,1010,54.70866531888568,0.028352271681358874,47.88270098951282,63.448151798273784,0.0,0
2,100,20,20,20,1011,inf,inf,inf,inf,0.0,0
2,100,20,20,20,1100,51.86358380756304,0.02439530381801922,45.97012897370585,59.43322642059838,0.0,0
2,100,20,20,20,1101,44.364478116481905,0.012613618404439812,41.22198596242993,48.17452911284244,1.0,1
2,100,20,20,20,1110,54.086810528902944,0.023235223011466452,48.46457907955437,61.29110835108525,0.0,0
2,100,20,20,20,1111,46.587704837821796,0.011825813212444285,43.6525963074015,50.17456857523948,0.0,0
3,100,10,10,10,0000,50.8759963246421,0.03416765832349218,42.60648290685221,61.43258291225326,0.0,0
3,100,10,10,10,0001,inf,inf,inf,inf,0.0,0
3,100,10,10,10,0010,43.22682562179146,0.018262024276349265,38.80691327780032,48.869139142756055,0.0142,0
3,100,10,10,10,0011,inf,inf,inf,inf,0.0,0
3,100,10,10,10,0100,49.19485661024592,0.02817465467852854,42.496070060494546,57.99728756340721,0.0,0
3,100,10,10,10,0101,inf,inf,inf,inf,0.0,0
3,100,10,10,10,0110,45.504143017326506,0.017227043207096532,41.345887153980875,50.84303970029791,0.0,0
3,100,10,10,10,0111,inf,inf,inf,inf,0.0,0
3,100,10,10,10,1000,45.78683245548869,0.026201239478168208,39.49300693476967,54.01786616225504,0.0004,0
3,100,10,10,10,1001,inf,inf,inf,inf,0.0,0
3,100,10,10,10,1010,42.07665741694997,0.014648633243748453,38.540675400281565,46.665619802267024,0.003,0
3,100,10,10,10,1011,inf,inf,inf,inf,0.0,0
3,100,10,10,10,1100,43.92705843861636,0.01912265711778167,39.42847240345362,49.97922231868047,0.0,0
