problem,case,sample_size_each_rate,selected_policy,posterior_mean_cost,posterior_mean_profit,probability_ex_post_optimal
Q2,1,100,1101,38.156779230798186,17.843220769201814,0.93075
Q2,2,100,1101,44.340685471992735,11.659314528007265,1.0
Q2,3,100,1111,40.83384424618697,15.16615575381303,0.51175
Q2,4,100,1111,41.58849875108898,14.411501248911023,1.0
Q2,5,100,0100,44.87456064736542,11.12543935263458,0.5475
Q2,6,100,0000,35.03909597636919,20.96090402363081,0.6215
Q3,tree,100,11111111/111/111/01,140.9375768097212,59.06242319027879,0.921
Q2,1,200,1101,38.01823322559109,17.98176677440891,0.98075
Q2,2,200,1101,44.16381085861103,11.83618914138897,1.0
Q2,3,200,1111,40.70070680661098,15.299293193389019,0.51425
Q2,4,200,1111,41.38032564733914,14.619674352660859,1.0
Q2,5,200,0100,44.375608850076986,11.624391149923014,0.60925
Q2,6,200,0000,34.668229678772946,21.331770321227054,0.69925
Q3,tree,200,11111111/111/111/01,140.35964928240185,59.64035071759815,0.9805
Q2,1,500,1101,37.94222642236769,18.05777357763231,0.9995
Q2,2,500,1101,44.059930655552705,11.940069344447295,1.0
Q2,3,500,1111,40.60135160810439,15.398648391895613,0.5155
Q2,4,500,1111,41.29668420280104,14.703315797198961,1.0
Q2,5,500,0100,44.16094827545485,11.83905172454515,0.6925
Q2,6,500,0000,34.4670293045031,21.5329706954969,0.79275
Q3,tree,500,11111111/111/111/01,140.01330092149507,59.98669907850493,0.9995
